,grp,variable,value
463,13_4,5_9,0.026664999866107212
464,13_4,5_10,0.013496120812535912
465,13_4,5_11,0.007370502419362519
466,13_4,5_12,0.037272783383592675
467,13_4,5_13,0.01795759672108998
468,13_4,5_14,0.009493140348374467
469,13_4,3_1,0.002842695430959616
470,13_4,3_2,0.0020669417006056717
471,13_4,3_3,0.01817167612630182
472,13_4,3_4,8.745465289250546e-05
473,13_4,3_5,0.11883411901445494
474,13_4,3_6,0.0035839028987820045
475,13_4,3_7,0.096809440280377
476,13_4,3_8,0.023393734557628738
477,13_4,3_9,0.030926212991835043
478,13_4,3_10,0.012277403666441063
479,13_4,3_11,0.0027838490372177824
480,13_4,3_12,0.0024385407540632362
481,13_4,3_13,0.04132469281181235
482,13_4,3_14,0.04026899779489866
483,13_4,3_15,0.024667851906983302
484,13_4,3_16,0.006045154241886101
485,13_4,3_17,0.02131892334363126
486,13_4,3_18,0.034005102202526435
487,13_4,3_19,0.028605488565795145
488,13_4,3_20,0.07798671097332645
489,13_4,3_21,0.013334564115372993
490,13_4,3_22,0.0011467656334590527
491,13_4,4_1,0.02272543809330098
492,13_4,4_2,0.016163767316799506
493,13_4,4_3,0.01702048743316268
494,13_4,4_4,0.027761180890814495
495,13_4,4_5,0.04900881897277768
496,13_4,4_6,0.01824330955870593
497,13_4,4_7,0.0025051219921912544
498,13_4,4_8,0.008621559139061062
499,13_4,4_9,0.009665540550588936
500,13_4,4_10,0.02372879304440819
501,13_4,1_1,0.0022196163811138377
502,13_4,1_2,0.017764524338615625
503,13_4,1_3,0.018979141805451058
504,13_4,1_4,0.05999250590289267
505,13_4,1_5,0.028217718396074534
506,13_4,1_6,0.00593599991626049
507,13_4,1_7,0.054949641901646154
508,13_4,1_8,0.08659432645068564
509,13_4,1_9,0.031751196903363824
510,13_4,1_10,0.07914038800816733
511,13_4,1_11,0.02905919503727546
512,14_1,13_1,0.2873530709054661
513,14_1,13_2,0.017250580399471294
514,14_1,13_3,0.006508945897870802
515,14_1,13_4,0.015064624513516348
516,14_1,14_1,1.0
517,14_1,14_2,0.4897616568137765
518,14_1,14_3,0.03228262566385981
519,14_1,14_4,0.08900318620634512
520,14_1,14_5,0.08426042301363909
521,14_1,14_6,0.3420435032240648
522,14_1,14_7,0.317311098513676
523,14_1,11_1,0.001162509614139859
524,14_1,11_2,0.0014128021859704644
525,14_1,11_3,0.0014963264797654046
526,14_1,11_4,0.026511251219493107
527,14_1,11_5,0.0177832557977381
528,14_1,11_6,0.059659458412673075
529,14_1,8_1,0.0017471804043563718
530,14_1,8_2,0.00436434997603756
531,14_1,8_3,0.02398003995340015
532,14_1,8_4,0.022837206782806724
533,14_1,8_5,0.015291840412261554
534,14_1,8_6,0.00019138278462156515
535,14_1,7_1,0.05925034666787144
536,14_1,7_2,0.002586420796030957
537,14_1,7_3,0.002923443821175511
538,14_1,7_4,0.41472968108541813
539,14_1,7_5,0.02743900191027127
540,14_1,7_6,0.024785065565879616
541,14_1,7_7,0.005304174868791658
542,14_1,7_8,0.07050975904295907
543,14_1,7_9,0.01648518799010616
544,14_1,7_10,0.01377424793778697
545,14_1,7_11,0.2687570812299722
546,14_1,10_1,0.0030922413781252515
547,14_1,10_2,0.010690832783224587
548,14_1,10_3,0.10830120778744401
549,14_1,10_4,0.1029602384939906
550,14_1,10_5,0.09856078191399684
551,14_1,10_6,0.005183464016083051
552,14_1,12_1,0.002082310036516736
553,14_1,12_2,0.0025022839110100787
554,14_1,12_3,0.1761958321697172
555,14_1,12_4,0.18715965083780145
556,14_1,6_1,0.022114958883484307
557,14_1,6_2,0.0746211618145806
558,14_1,6_3,0.019805333639721666
559,14_1,6_4,0.1455067196285082
560,14_1,6_5,0.009194854496433882
561,14_1,6_6,0.09909429997501812
562,14_1,6_7,0.08652068992072481
563,14_1,6_8,0.21945048450931834
564,14_1,9_1,0.0022501576896190004
565,14_1,9_2,0.0024181944672231285
566,14_1,9_3,0.003599783420895289
567,14_1,9_4,0.02283720678280688
568,14_1,9_5,0.020433150779610748
569,14_1,9_6,0.016735991656535255
570,14_1,9_7,0.0068549614426068614
571,14_1,9_8,0.009917284160561535
572,14_1,9_9,0.009335460404661494
573,14_1,9_10,0.007294746034986487
574,14_1,9_11,0.0034359060941295855
575,14_1,9_12,0.0020963567463357946
576,14_1,9_13,0.0004943034538238615
577,14_1,2_1,0.011606491648166118
578,14_1,2_2,0.016053124522713565
579,14_1,2_3,0.0012470654341712971
580,14_1,2_4,0.052048083607668626
581,14_1,2_5,0.04537704574718412
582,14_1,2_6,0.012564485530356799
583,14_1,5_1,0.16535022318014905
584,14_1,5_2,0.005389907915251811
585,14_1,5_3,0.005389907915251811
586,14_1,5_4,0.0054756902761823175
587,14_1,5_5,0.006163731317370801
588,14_1,5_6,0.04592187507566472
589,14_1,5_7,0.25915195227996723
590,14_1,5_8,0.0404473993022989
591,14_1,5_9,0.005921887002729916
592,14_1,5_10,0.0036355880488347283
593,14_1,5_11,0.002191880979752385
594,14_1,5_12,0.023412934910688778
595,14_1,5_13,0.0003479634453492613
596,14_1,5_14,0.17980049856492727
597,14_1,3_1,0.0003312219468896757
598,14_1,3_2,0.05062051742125874
599,14_1,3_3,0.001914651082705392
600,14_1,3_4,0.0022501576896190004
601,14_1,3_5,0.0022501576896190004
602,14_1,3_6,0.004279204311036773
603,14_1,3_7,0.0049617346958648455
604,14_1,3_8,0.07837982962625838
605,14_1,3_9,0.020116233861480738
606,14_1,3_10,0.01950026906247496
607,14_1,3_11,0.018056685969016786
608,14_1,3_12,0.017250580399471294
609,14_1,3_13,0.007201781677003779
610,14_1,3_14,0.008919237096263301
611,14_1,3_15,0.03705056507231465
612,14_1,3_16,0.03522005116164697
613,14_1,3_17,0.004207621032835678
614,14_1,3_18,0.07950951101716298
615,14_1,3_19,0.016791863637674674
616,14_1,3_20,0.21300955418908682
617,14_1,3_21,0.0007688382206213249
618,14_1,3_22,0.010846723682998518
619,14_1,4_1,0.0005801220672280964
620,14_1,4_2,0.011181470138460525
621,14_1,4_3,0.01893635267857204
622,14_1,4_4,0.0011469959171959137
623,14_1,4_5,0.03267786716007661
624,14_1,4_6,0.00214958663527392
625,14_1,4_7,0.0027307056342996384
626,14_1,4_8,0.05947882822875577
627,14_1,4_9,0.000979798195775369
628,14_1,4_10,0.00024168283109354076
629,14_1,1_1,0.0370838105441008
630,14_1,1_2,0.013134227190859138
631,14_1,1_3,0.019406654740763064
632,14_1,1_4,0.19502471874089317
633,14_1,1_5,0.02390153510465059
634,14_1,1_6,0.23578078065836788
635,14_1,1_7,0.01894382627582769
636,14_1,1_8,0.19861397306059098
637,14_1,1_9,0.1251517089201456
638,14_1,1_10,0.011793283100431071
639,14_1,1_11,0.03762685254323873
640,14_2,13_1,0.22332310575781097
641,14_2,13_2,0.02411122824592426
642,14_2,13_3,0.0035483418838158126
643,14_2,13_4,0.13047588512211114
644,14_2,14_1,0.15992482026156232
645,14_2,14_2,1.0
646,14_2,14_3,0.17036942832274932
647,14_2,14_4,0.30668376048766244
648,14_2,14_5,0.14203434465183362
649,14_2,14_6,0.22786579617613603
650,14_2,14_7,0.08619512149493294
651,14_2,11_1,0.0498443942717488
652,14_2,11_2,0.023001529733853783
653,14_2,11_3,0.005945630315900959
654,14_2,11_4,0.055158273514042816
655,14_2,11_5,0.09576646038407163
656,14_2,11_6,0.10113093083127879
657,14_2,8_1,0.01975933834999085
658,14_2,8_2,0.05207023738120096
659,14_2,8_3,0.050629082977473525
660,14_2,8_4,0.017458353878772637
661,14_2,8_5,0.06826260328126045
662,14_2,8_6,0.033235100682907574
663,14_2,7_1,0.008752814156818157
664,14_2,7_2,0.0027472192490050635
665,14_2,7_3,0.0021523147829594215
666,14_2,7_4,0.294429378290372
667,14_2,7_5,0.05681740436566122
668,14_2,7_6,0.03435501213220706
669,14_2,7_7,0.06304796884231963
670,14_2,7_8,0.12010657987110793
671,14_2,7_9,0.053372617541663524
672,14_2,7_10,0.06399654785399404
673,14_2,7_11,0.4151929909166301
674,14_2,10_1,0.04462310793637873
675,14_2,10_2,0.07215700393663854
676,14_2,10_3,0.17428896762542406
677,14_2,10_4,0.16623046610003828
678,14_2,10_5,0.18397763346877916
679,14_2,10_6,0.08381805540399061
680,14_2,12_1,0.08188997308423966
681,14_2,12_2,0.0029166140365732974
682,14_2,12_3,0.1930202947959923
683,14_2,12_4,0.08307628935106451
684,14_2,6_1,0.10952787231698079
685,14_2,6_2,0.10321494246115631
686,14_2,6_3,0.06090899004460956
687,14_2,6_4,0.14789548666601918
688,14_2,6_5,0.14757547428127923
689,14_2,6_6,0.13747157354456951
690,14_2,6_7,0.18842240052172676
691,14_2,6_8,0.21718737017310466
692,14_2,9_1,0.05468965025750765
693,14_2,9_2,0.05236056662243111
694,14_2,9_3,0.0812365190131386
695,14_2,9_4,0.0485813934939324
696,14_2,9_5,0.02843287833262532
697,14_2,9_6,0.053946414958556364
698,14_2,9_7,0.022084704335929222
699,14_2,9_8,0.052800204917385275
700,14_2,9_9,0.06736484073826302
701,14_2,9_10,0.05985475694052968
702,14_2,9_11,0.09066073817553505
703,14_2,9_12,0.03725507871744679
704,14_2,9_13,0.06331519108821532
705,14_2,2_1,0.001554125310643294
706,14_2,2_2,0.00024082361730025023
707,14_2,2_3,0.03225553324016461
708,14_2,2_4,0.03405608251003493
709,14_2,2_5,0.00974212151868752
710,14_2,2_6,3.74131194149247e-07
711,14_2,5_1,0.23021693696149984
712,14_2,5_2,0.00016725193665380344
713,14_2,5_3,0.06232194965589483
714,14_2,5_4,0.0001436145497515137
715,14_2,5_5,0.012789753081275721
716,14_2,5_6,0.0639345049263885
717,14_2,5_7,0.18054153357134817
718,14_2,5_8,0.05650305823564982
719,14_2,5_9,0.040276341126344435
720,14_2,5_10,0.021354468950644568
721,14_2,5_11,0.009077621169993288
722,14_2,5_12,0.07426894749003506
723,14_2,5_13,0.047496535533847944
724,14_2,5_14,0.13336205388241104
725,14_2,3_1,0.017633552680724758
726,14_2,3_2,0.07046646007332046
727,14_2,3_3,0.03742257071456034
