grp,variable,value
13_2,3_11,0.0069925863743727605
13_2,3_12,0.0017057422623079873
13_2,3_13,0.014491998445086276
13_2,3_14,0.01344247436660833
13_2,3_15,0.010290289040174141
13_2,3_16,0.004588498217032878
13_2,3_17,0.01393115508100245
13_2,3_18,0.0003795642983977292
13_2,3_19,0.00023045478800201978
13_2,3_20,0.06726351229503381
13_2,3_21,0.016423522348183183
13_2,3_22,0.05711282807298457
13_2,4_1,0.0077157571729548746
13_2,4_2,0.021194122445663613
13_2,4_3,0.0008436552542234028
13_2,4_4,0.000564284826574245
13_2,4_5,0.007591595438509808
13_2,4_6,1.1761479312581009e-05
13_2,4_7,0.00022910988830993477
13_2,4_8,0.008461549250762751
13_2,4_9,0.025467342765429054
13_2,4_10,0.0016115012929834493
13_2,1_1,0.0006618823588835826
13_2,1_2,0.0001326825536995636
13_2,1_3,0.006204656916184993
13_2,1_4,0.012343136913186985
13_2,1_5,0.0272466941314814
13_2,1_6,0.0007986850324997103
13_2,1_7,0.018173881610678955
13_2,1_8,0.015267464144589342
13_2,1_9,0.024632805624996174
13_2,1_10,0.0020435352164566967
13_2,1_11,0.008998529223608023
13_3,13_1,5.841533642897055e-05
13_3,13_2,0.08350381074051297
13_3,13_3,1.0
13_3,13_4,0.03737421372196493
13_3,14_1,0.0008227873939792473
13_3,14_2,0.0013736349593714058
13_3,14_3,0.00040421754665096794
13_3,14_4,0.0006606247493461541
13_3,14_5,0.004270543079940395
13_3,14_6,0.0005372460935678049
13_3,14_7,6.515844873735067e-05
13_3,11_1,0.003471504791241324
13_3,11_2,0.00015557674938506316
13_3,11_3,0.002321117699672882
13_3,11_4,0.005252039478501218
13_3,11_5,0.0016769579965332927
13_3,11_6,0.0042475628275534935
13_3,8_1,1.9601771778995666e-05
13_3,8_2,0.026272204054139336
13_3,8_3,0.03089267090646371
13_3,8_4,0.029172186906002748
13_3,8_5,0.004639643591031497
13_3,8_6,0.05341901691859589
13_3,7_1,0.009903513212527333
13_3,7_2,0.0026666429259150147
13_3,7_3,0.0020029915741482346
13_3,7_4,0.0005702951191405073
13_3,7_5,0.023956778419545424
13_3,7_6,0.004453276046587854
13_3,7_7,0.005276077142349439
13_3,7_8,0.006682980215283317
13_3,7_9,0.005418688677460248
13_3,7_10,0.012316936533117336
13_3,7_11,0.002078753164671306
13_3,10_1,0.004477677846548446
13_3,10_2,0.01906051352683652
13_3,10_3,0.013591393871588675
13_3,10_4,0.0009472572809662335
13_3,10_5,0.001653434588492926
13_3,10_6,0.0006866646314027781
13_3,12_1,6.913624183341394e-06
13_3,12_2,0.006360966924922097
13_3,12_3,0.002159395803543613
13_3,12_4,0.044836222118151296
13_3,6_1,0.001976855882257691
13_3,6_2,0.004918918339513503
13_3,6_3,0.004747909934572567
13_3,6_4,0.004420259053566298
13_3,6_5,0.002747804578489485
13_3,6_6,6.517970844142779e-05
13_3,6_7,3.23761643008191e-05
13_3,6_8,0.00020663881229719656
13_3,9_1,0.0008639817568164984
13_3,9_2,0.0006689035479470008
13_3,9_3,0.006426892752789278
13_3,9_4,0.00013679563003521694
13_3,9_5,0.0026267947160862064
13_3,9_6,4.294433176651185e-05
13_3,9_7,0.0001066740152601442
13_3,9_8,0.030448268203086583
13_3,9_9,1.0406375781948523e-06
13_3,9_10,0.0050132549679976915
13_3,9_11,0.0026423628568865744
13_3,9_12,0.0012298252667036727
13_3,9_13,0.0019019740732636719
13_3,2_1,0.031554176411328044
13_3,2_2,0.03374036184493684
13_3,2_3,6.510497775824194e-05
13_3,2_4,0.016338260305220415
13_3,2_5,0.027750978066077115
13_3,2_6,0.0012990404776885502
13_3,5_1,0.004453276046587854
13_3,5_2,0.06336156221419283
13_3,5_3,0.0562378228464013
13_3,5_4,0.004918918339513503
13_3,5_5,0.0702742759939372
13_3,5_6,0.051632693876542256
13_3,5_7,0.004664692064416806
13_3,5_8,0.01147150751327315
13_3,5_9,0.013565379245856171
13_3,5_10,0.04652668115339805
13_3,5_11,0.010293371872149891
13_3,5_12,0.02922738760260529
13_3,5_13,0.014658149609168418
13_3,5_14,0.032767808095959694
13_3,3_1,0.0005482138458071789
13_3,3_2,0.002338538475256099
13_3,3_3,6.326693142896259e-07
13_3,3_4,0.017936114081654814
13_3,3_5,0.017936114081654814
13_3,3_6,0.0013235390847706969
13_3,3_7,0.028092411280983758
13_3,3_8,0.0031540634875890095
13_3,3_9,0.030488738998420355
13_3,3_10,0.002276395382422422
13_3,3_11,0.009704359223481722
13_3,3_12,0.0994482318773922
13_3,3_13,0.02185898146939609
13_3,3_14,0.006746329882121483
13_3,3_15,0.009435605752211057
13_3,3_16,0.011019920541577143
13_3,3_17,0.012845827647169104
13_3,3_18,0.008864889735315011
13_3,3_19,0.011179793136267113
13_3,3_20,0.06909847985934915
13_3,3_21,0.004006866019259704
13_3,3_22,0.05605879436313214
13_3,4_1,0.007414831286568785
13_3,4_2,0.019938528104244596
13_3,4_3,0.0001377344817545398
13_3,4_4,0.0004943348155232016
13_3,4_5,0.03700855138542819
13_3,4_6,0.003787815148431268
13_3,4_7,0.0016694520865750079
13_3,4_8,0.007020593905790784
13_3,4_9,0.023914983026793683
13_3,4_10,0.007498724929687603
13_3,1_1,0.0028582357173020027
13_3,1_2,0.004794172904004707
13_3,1_3,0.036206257045379206
13_3,1_4,0.01978949988603569
13_3,1_5,0.03625141096391791
13_3,1_6,0.007633706979972764
13_3,1_7,0.05350940648264125
13_3,1_8,0.026801178983494545
13_3,1_9,0.04905955195344522
13_3,1_10,0.010081278356968553
13_3,1_11,0.04788864306082824
13_4,13_1,0.05562610446288893
13_4,13_2,0.026095371064750333
13_4,13_3,0.03501367633589187
13_4,13_4,1.0
13_4,14_1,0.001784024962786099
13_4,14_2,0.047319677643354346
13_4,14_3,0.03187072062992722
13_4,14_4,0.06283433984841157
13_4,14_5,0.026984150618989216
13_4,14_6,0.038883939388270346
13_4,14_7,0.007911793231584741
13_4,11_1,0.013081468915834083
13_4,11_2,0.016856651429541486
13_4,11_3,0.005410794171682548
13_4,11_4,0.019450642265871843
13_4,11_5,0.03192251530862798
13_4,11_6,0.019254413004297765
13_4,8_1,8.583535140793869e-07
13_4,8_2,0.03309845491799967
13_4,8_3,0.008889439756040656
13_4,8_4,0.008095819757323233
13_4,8_5,0.008316840419719508
13_4,8_6,0.024769462983973235
13_4,7_1,0.0004449352910713778
13_4,7_2,0.0020522590740572116
13_4,7_3,0.0014791335161631807
13_4,7_4,0.013749455110332345
13_4,7_5,0.015676429890717936
13_4,7_6,0.006140767162458339
13_4,7_7,0.022030614081490315
13_4,7_8,0.04986103804736717
13_4,7_9,0.012716437066287474
13_4,7_10,0.038729532477574304
13_4,7_11,0.017609858586094675
13_4,10_1,0.03187072062992722
13_4,10_2,0.02685846727508477
13_4,10_3,0.04755587518438186
13_4,10_4,0.025579613971544415
13_4,10_5,0.019524061564856126
13_4,10_6,0.020850365955900133
13_4,12_1,0.011413045809911022
13_4,12_2,0.0022196163811138377
13_4,12_3,0.04345013924485385
13_4,12_4,0.026303805684959547
13_4,6_1,0.040102696302861514
13_4,6_2,0.0419888192435323
13_4,6_3,0.035714528953572314
13_4,6_4,0.05836205124580511
13_4,6_5,0.0935133339904251
13_4,6_6,0.05547931976655024
13_4,6_7,0.02728698209014538
13_4,6_8,0.013905162977186226
13_4,9_1,0.027485369638955093
13_4,9_2,0.02576053074381501
13_4,9_3,0.03973674888205452
13_4,9_4,0.011619176312642159
13_4,9_5,0.021596640069957478
13_4,9_6,0.057949055418277
13_4,9_7,0.05516076803165845
13_4,9_8,0.014147874277612799
13_4,9_9,0.027907239917588186
13_4,9_10,0.02671234739072505
13_4,9_11,0.055378947294416114
13_4,9_12,0.01695528342314505
13_4,9_13,0.043917816705751095
13_4,2_1,0.007083597699376723
13_4,2_2,0.001113312213158743
13_4,2_3,0.003424223272043307
13_4,2_4,0.011836560079921505
13_4,2_5,0.003258263020261569
13_4,2_6,0.005994159166195047
13_4,5_1,0.05875490165252588
13_4,5_2,0.0018556022307901958
13_4,5_3,0.01719984260017356
13_4,5_4,2.871096830104016e-07
13_4,5_5,0.018088410009745665
13_4,5_6,0.04339334333291498
13_4,5_7,0.004967118232220285
13_4,5_8,0.020684754633587932
13_4,5_9,0.026664999866107212
13_4,5_10,0.013496120812535912
13_4,5_11,0.007370502419362519
13_4,5_12,0.037272783383592675
13_4,5_13,0.01795759672108998
13_4,5_14,0.009493140348374467
13_4,3_1,0.002842695430959616
13_4,3_2,0.0020669417006056717
13_4,3_3,0.01817167612630182
13_4,3_4,8.745465289250546e-05
13_4,3_5,0.11883411901445494
13_4,3_6,0.0035839028987820045
13_4,3_7,0.096809440280377
13_4,3_8,0.023393734557628738
13_4,3_9,0.030926212991835043
13_4,3_10,0.012277403666441063
13_4,3_11,0.0027838490372177824
13_4,3_12,0.0024385407540632362
13_4,3_13,0.04132469281181235
13_4,3_14,0.04026899779489866
13_4,3_15,0.024667851906983302
13_4,3_16,0.006045154241886101
13_4,3_17,0.02131892334363126
13_4,3_18,0.034005102202526435
13_4,3_19,0.028605488565795145
13_4,3_20,0.07798671097332645
13_4,3_21,0.013334564115372993
13_4,3_22,0.0011467656334590527
13_4,4_1,0.02272543809330098
13_4,4_2,0.016163767316799506
13_4,4_3,0.01702048743316268
13_4,4_4,0.027761180890814495
13_4,4_5,0.04900881897277768
13_4,4_6,0.01824330955870593
13_4,4_7,0.0025051219921912544
13_4,4_8,0.008621559139061062
13_4,4_9,0.009665540550588936
13_4,4_10,0.02372879304440819
13_4,1_1,0.0022196163811138377
13_4,1_2,0.017764524338615625
13_4,1_3,0.018979141805451058
13_4,1_4,0.05999250590289267
13_4,1_5,0.028217718396074534
13_4,1_6,0.00593599991626049
13_4,1_7,0.054949641901646154
13_4,1_8,0.08659432645068564
13_4,1_9,0.031751196903363824
13_4,1_10,0.07914038800816733
13_4,1_11,0.02905919503727546
14_1,13_1,0.2873530709054661
14_1,13_2,0.017250580399471294
14_1,13_3,0.006508945897870802
14_1,13_4,0.015064624513516348
14_1,14_1,1.0
14_1,14_2,0.4897616568137765
14_1,14_3,0.03228262566385981
14_1,14_4,0.08900318620634512
14_1,14_5,0.08426042301363909
14_1,14_6,0.3420435032240648
14_1,14_7,0.317311098513676
14_1,11_1,0.001162509614139859
14_1,11_2,0.0014128021859704644
14_1,11_3,0.0014963264797654046
14_1,11_4,0.026511251219493107
14_1,11_5,0.0177832557977381
14_1,11_6,0.059659458412673075
14_1,8_1,0.0017471804043563718
14_1,8_2,0.00436434997603756
14_1,8_3,0.02398003995340015
14_1,8_4,0.022837206782806724
14_1,8_5,0.015291840412261554
14_1,8_6,0.00019138278462156515
14_1,7_1,0.05925034666787144
14_1,7_2,0.002586420796030957
14_1,7_3,0.002923443821175511
14_1,7_4,0.41472968108541813
14_1,7_5,0.02743900191027127
14_1,7_6,0.024785065565879616
14_1,7_7,0.005304174868791658
14_1,7_8,0.07050975904295907
14_1,7_9,0.01648518799010616
14_1,7_10,0.01377424793778697
14_1,7_11,0.2687570812299722
14_1,10_1,0.0030922413781252515
14_1,10_2,0.010690832783224587
14_1,10_3,0.10830120778744401
14_1,10_4,0.1029602384939906
14_1,10_5,0.09856078191399684
14_1,10_6,0.005183464016083051
14_1,12_1,0.002082310036516736
14_1,12_2,0.0025022839110100787
14_1,12_3,0.1761958321697172
14_1,12_4,0.18715965083780145
14_1,6_1,0.022114958883484307
14_1,6_2,0.0746211618145806
14_1,6_3,0.019805333639721666
14_1,6_4,0.1455067196285082
14_1,6_5,0.009194854496433882
14_1,6_6,0.09909429997501812
14_1,6_7,0.08652068992072481
14_1,6_8,0.21945048450931834
14_1,9_1,0.0022501576896190004
14_1,9_2,0.0024181944672231285
14_1,9_3,0.003599783420895289
14_1,9_4,0.02283720678280688
14_1,9_5,0.020433150779610748
14_1,9_6,0.016735991656535255
14_1,9_7,0.0068549614426068614
14_1,9_8,0.009917284160561535
14_1,9_9,0.009335460404661494
14_1,9_10,0.007294746034986487
14_1,9_11,0.0034359060941295855
14_1,9_12,0.0020963567463357946
14_1,9_13,0.0004943034538238615
14_1,2_1,0.011606491648166118
14_1,2_2,0.016053124522713565
14_1,2_3,0.0012470654341712971
14_1,2_4,0.052048083607668626
14_1,2_5,0.04537704574718412
14_1,2_6,0.012564485530356799
14_1,5_1,0.16535022318014905
14_1,5_2,0.005389907915251811
14_1,5_3,0.005389907915251811
14_1,5_4,0.0054756902761823175
14_1,5_5,0.006163731317370801
14_1,5_6,0.04592187507566472
14_1,5_7,0.25915195227996723
14_1,5_8,0.0404473993022989
14_1,5_9,0.005921887002729916
14_1,5_10,0.0036355880488347283
14_1,5_11,0.002191880979752385
14_1,5_12,0.023412934910688778
14_1,5_13,0.0003479634453492613
14_1,5_14,0.17980049856492727
14_1,3_1,0.0003312219468896757
14_1,3_2,0.05062051742125874
14_1,3_3,0.001914651082705392
14_1,3_4,0.0022501576896190004
14_1,3_5,0.0022501576896190004
14_1,3_6,0.004279204311036773
14_1,3_7,0.0049617346958648455
14_1,3_8,0.07837982962625838
14_1,3_9,0.020116233861480738
14_1,3_10,0.01950026906247496
14_1,3_11,0.018056685969016786
14_1,3_12,0.017250580399471294
14_1,3_13,0.007201781677003779
14_1,3_14,0.008919237096263301
14_1,3_15,0.03705056507231465
14_1,3_16,0.03522005116164697
14_1,3_17,0.004207621032835678
14_1,3_18,0.07950951101716298
14_1,3_19,0.016791863637674674
14_1,3_20,0.21300955418908682
14_1,3_21,0.0007688382206213249
14_1,3_22,0.010846723682998518
14_1,4_1,0.0005801220672280964
14_1,4_2,0.011181470138460525
14_1,4_3,0.01893635267857204
14_1,4_4,0.0011469959171959137
14_1,4_5,0.03267786716007661
14_1,4_6,0.00214958663527392
14_1,4_7,0.0027307056342996384
14_1,4_8,0.05947882822875577
14_1,4_9,0.000979798195775369
14_1,4_10,0.00024168283109354076
14_1,1_1,0.0370838105441008
14_1,1_2,0.013134227190859138
14_1,1_3,0.019406654740763064
14_1,1_4,0.19502471874089317
14_1,1_5,0.02390153510465059
14_1,1_6,0.23578078065836788
14_1,1_7,0.01894382627582769
14_1,1_8,0.19861397306059098
14_1,1_9,0.1251517089201456
14_1,1_10,0.011793283100431071
14_1,1_11,0.03762685254323873
14_2,13_1,0.22332310575781097
14_2,13_2,0.02411122824592426
14_2,13_3,0.0035483418838158126
14_2,13_4,0.13047588512211114
14_2,14_1,0.15992482026156232
14_2,14_2,1.0
14_2,14_3,0.17036942832274932
14_2,14_4,0.30668376048766244
14_2,14_5,0.14203434465183362
14_2,14_6,0.22786579617613603
14_2,14_7,0.08619512149493294
14_2,11_1,0.0498443942717488
14_2,11_2,0.023001529733853783
14_2,11_3,0.005945630315900959
14_2,11_4,0.055158273514042816
14_2,11_5,0.09576646038407163
14_2,11_6,0.10113093083127879
14_2,8_1,0.01975933834999085
14_2,8_2,0.05207023738120096
14_2,8_3,0.050629082977473525
14_2,8_4,0.017458353878772637
14_2,8_5,0.06826260328126045
14_2,8_6,0.033235100682907574
14_2,7_1,0.008752814156818157
14_2,7_2,0.0027472192490050635
14_2,7_3,0.0021523147829594215
14_2,7_4,0.294429378290372
14_2,7_5,0.05681740436566122
14_2,7_6,0.03435501213220706
14_2,7_7,0.06304796884231963
14_2,7_8,0.12010657987110793
14_2,7_9,0.053372617541663524
14_2,7_10,0.06399654785399404
14_2,7_11,0.4151929909166301
14_2,10_1,0.04462310793637873
14_2,10_2,0.07215700393663854
14_2,10_3,0.17428896762542406
14_2,10_4,0.16623046610003828
14_2,10_5,0.18397763346877916
14_2,10_6,0.08381805540399061
14_2,12_1,0.08188997308423966
14_2,12_2,0.0029166140365732974
14_2,12_3,0.1930202947959923
14_2,12_4,0.08307628935106451
14_2,6_1,0.10952787231698079
14_2,6_2,0.10321494246115631
14_2,6_3,0.06090899004460956
14_2,6_4,0.14789548666601918
14_2,6_5,0.14757547428127923
14_2,6_6,0.13747157354456951
14_2,6_7,0.18842240052172676
14_2,6_8,0.21718737017310466
14_2,9_1,0.05468965025750765
14_2,9_2,0.05236056662243111
14_2,9_3,0.0812365190131386
14_2,9_4,0.0485813934939324
14_2,9_5,0.02843287833262532
14_2,9_6,0.053946414958556364
14_2,9_7,0.022084704335929222
14_2,9_8,0.052800204917385275
14_2,9_9,0.06736484073826302
14_2,9_10,0.05985475694052968
14_2,9_11,0.09066073817553505
14_2,9_12,0.03725507871744679
14_2,9_13,0.06331519108821532
14_2,2_1,0.001554125310643294
14_2,2_2,0.00024082361730025023
14_2,2_3,0.03225553324016461
14_2,2_4,0.03405608251003493
14_2,2_5,0.00974212151868752
14_2,2_6,3.74131194149247e-07
14_2,5_1,0.23021693696149984
14_2,5_2,0.00016725193665380344
14_2,5_3,0.06232194965589483
14_2,5_4,0.0001436145497515137
14_2,5_5,0.012789753081275721
14_2,5_6,0.0639345049263885
14_2,5_7,0.18054153357134817
14_2,5_8,0.05650305823564982
14_2,5_9,0.040276341126344435
14_2,5_10,0.021354468950644568
14_2,5_11,0.009077621169993288
14_2,5_12,0.07426894749003506
14_2,5_13,0.047496535533847944
14_2,5_14,0.13336205388241104
14_2,3_1,0.017633552680724758
14_2,3_2,0.07046646007332046
14_2,3_3,0.03742257071456034
14_2,3_4,0.0034838907568352923
14_2,3_5,0.016075058968445074
14_2,3_6,0.03492287333613505
14_2,3_7,0.0003178775135297431
14_2,3_8,0.06530956205645595
14_2,3_9,0.08150418452047811
14_2,3_10,0.01435989725629111
14_2,3_11,0.025205440105956368
14_2,3_12,8.901317605596847e-06
14_2,3_13,0.06700165758865963
14_2,3_14,0.06586510127898275
14_2,3_15,0.08430445591069971
14_2,3_16,0.06442326259892192
14_2,3_17,0.023024218534302622
14_2,3_18,0.05905966626147724
14_2,3_19,0.01781786617648656
14_2,3_20,0.18458174134473834
14_2,3_21,0.1386719304732472
14_2,3_22,0.013734877677880801
14_2,4_1,0.038032260486388525
14_2,4_2,0.006966461640635836
14_2,4_3,0.045773830315088575
14_2,4_4,0.00640537102749453
14_2,4_5,0.026052691032326405
14_2,4_6,0.0066322624182701155
14_2,4_7,0.0030091013562175777
14_2,4_8,0.014989386790645145
14_2,4_9,0.007628381362476095
14_2,4_10,0.009079834084533632
14_2,1_1,0.002916614036573094
14_2,1_2,0.01582133204264146
14_2,1_3,0.0067739094842476765
14_2,1_4,0.16585809372118038
14_2,1_5,0.014904796902204432
14_2,1_6,0.034504637585989976
14_2,1_7,0.0382907235658724
14_2,1_8,0.17866550898586264
14_2,1_9,0.07833654370258418
14_2,1_10,0.01275701695254117
14_2,1_11,0.02374206445435268
14_3,13_1,0.17438423592320773
14_3,13_2,0.00828244061255
14_3,13_3,0.0007128627999778552
14_3,13_4,0.059995271855367335
14_3,14_1,0.007196753173276433
14_3,14_2,0.11631302051108988
14_3,14_3,1.0
14_3,14_4,0.16019632008676457
14_3,14_5,0.1702079112443064
14_3,14_6,0.28089675659179486
14_3,14_7,0.11275868976907666
14_3,11_1,0.012877966012253541
14_3,11_2,0.010901336630803069
14_3,11_3,0.0021242651410941166
14_3,11_4,0.002377314149898682
14_3,11_5,0.04357820197057183
14_3,11_6,0.12643281915827081
14_3,8_1,0.001585734036433102
14_3,8_2,0.05773989770722235
14_3,8_3,0.032366337060953716
14_3,8_4,0.012650002599201378
14_3,8_5,0.060614556601145855
14_3,8_6,0.07714378631720491
14_3,7_1,0.003776600749734626
14_3,7_2,0.050085764692699854
14_3,7_3,0.011987082025690862
14_3,7_4,0.041673219677029444
14_3,7_5,0.07765044779503512
14_3,7_6,0.0860613102689814
14_3,7_7,0.13693235231340442
14_3,7_8,0.16077578050300917
14_3,7_9,0.04094204554379834
14_3,7_10,0.06826463119131712
14_3,7_11,0.20276822250358184
14_3,10_1,0.08910560980660985
14_3,10_2,0.06997708265774649
14_3,10_3,0.19676857196562486
14_3,10_4,0.15486120305477707
14_3,10_5,0.1967954467524429
14_3,10_6,0.1180884852545458
14_3,12_1,0.05755846721482187
14_3,12_2,0.014139878392151499
14_3,12_3,0.16680444374483988
14_3,12_4,0.06811723127261099
14_3,6_1,0.2182138117915945
14_3,6_2,0.1514529934458801
